Time(s),A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0.110,1000.1529,994.8133,996.3261,1005.1137,1001.1486,999.5187,999.6959,995.5802,995.0897,997.6373,1004.1361,1001.6801,986.9232,998.2733,998.8560,1002.2789,1000.8098,996.3345,1002.1284,995.9902,984.6534,996.0713,992.5164,1000.9603,996.4373,1000.4054,995.6789,990.3260,1000.6826,1002.3444,1000.1176,1002.9533,991.9803,992.2138,998.9392,1006.8405,996.0026,997.2366,996.6749,1051.3237,1006.7320,988.4452,980.5475,293.8206,1000.2554,999.0195,1020.1157,1003.4128,978.4034,1006.3029,997.1541,993.6510,996.2738,1001.4757,1003.0235,997.1760,1004.0795,1099.0535,941.9085,999.1790,1002.9639,991.8939,1000.4536,997.2061,998.3237,999.2700,1000.7377,1009.2552,1001.3142,947.3215,898.0850,1020.8730,1088.3988,994.6005,1006.1088,1000.3180,1015.7639,994.2616,996.7601,1001.0767,1005.4407,1009.6571,981.4587,1000.1280,1000.0000,1000.3442,997.2818,950.3365,808.3848,1185.0721,1000.4532,1003.8892,827.0455,999.0433,999.5325,990.3890
0.120,997.3098,1002.3691,1002.7158,998.6792,995.4851,1002.6666,999.8610,1005.8207,993.6749,1005.4762,996.3453,1001.2557,1002.6037,996.2039,993.4829,1002.4837,999.1776,995.1585,998.7477,1003.1120,1001.0210,995.5906,996.1109,997.9287,992.1518,985.9859,1007.5084,997.8931,995.7797,996.5829,1000.5046,990.8991,986.4526,990.5786,989.7326,1005.0322,999.3076,1001.2534,1000.6488,1042.4511,993.8550,998.9652,963.1228,304.9896,995.4545,1007.1691,1005.7070,1015.9500,982.7521,1001.0721,994.4240,997.8621,999.2728,1002.5617,1014.9106,996.8502,991.6240,1100.9227,933.6583,995.6693,1006.9367,1002.0151,994.6820,1009.6438,1003.1302,994.2295,1040.3963,1000.9191,997.9427,943.9151,902.0137,1038.7347,1086.8518,1003.7163,1005.6488,998.3943,1006.9378,1001.7642,995.5463,1000.2294,994.1766,1008.1923,978.5573,1007.8764,1000.0000,999.7737,1003.7669,946.8292,801.7122,1194.8119,998.3748,997.5628,833.6760,994.1322,989.4687,956.4582
0.130,994.4223,1005.3291,998.4393,997.2093,999.0220,1000.0789,994.7700,996.0293,998.8524,1002.7780,1004.0556,996.7900,997.7685,998.2203,995.9783,997.2806,992.3690,1002.3776,989.7090,992.4650,1002.6190,994.9478,991.9921,1001.7405,999.8311,991.6586,996.9994,998.3839,990.1473,995.9410,1003.0135,1014.9250,1004.4076,997.4200,995.9038,999.7746,996.1198,1004.8965,999.7434,1045.3046,1006.5160,1002.4932,1019.8302,295.5603,995.5839,989.9313,979.6917,993.1541,977.9998,1003.3609,997.4682,999.3204,1013.0911,996.7007,1016.4395,1013.1175,1005.4003,1102.6158,939.7468,997.2501,996.7589,998.4707,1007.0900,1008.1472,997.9649,1001.4956,1035.9418,989.0878,1001.7322,946.5435,902.9961,1093.0866,1103.3532,1004.7646,1043.5600,998.4440,1008.8151,1000.6251,1002.9968,1003.3990,992.9025,1011.0736,985.8508,1009.1514,1000.0000,1000.0883,997.6673,945.3545,805.1682,1190.8484,996.7753,996.2364,837.4609,992.6690,1008.4310,971.7626
0.140,991.3711,1007.6079,996.3985,999.7105,997.6330,994.1721,999.2561,996.3860,1001.1237,1003.3743,993.1405,1000.2217,998.3064,993.4063,988.4364,992.4241,998.2875,1002.0662,996.5632,1000.8160,994.6797,1006.4478,994.8278,999.3980,995.5795,1000.2871,998.2515,1003.7701,1002.4720,1003.9377,991.2901,992.4725,988.3577,998.2768,994.6089,1004.6820,1007.0942,1004.2110,1003.5816,1055.7320,993.5934,997.5626,966.4383,295.1716,998.2263,996.3130,988.2034,1009.4786,972.8810,1002.5496,997.8929,999.8817,1010.7163,997.7952,1003.7682,998.1800,997.4061,1098.3749,939.4185,999.9422,1001.0297,994.7362,995.1137,1001.8846,994.9068,999.9793,999.8491,1007.4385,997.0567,951.5773,902.3186,903.1288,1111.6758,1000.2081,1071.9618,997.4867,1009.6316,992.2009,1001.6063,996.6484,987.5803,1014.6818,985.3381,995.9543,1000.0000,999.8333,993.0734,948.1897,807.5890,1196.0182,1000.0413,999.7306,842.1532,1008.6698,1005.5700,979.0832
0.150,996.0618,1003.4880,995.6846,992.2537,1000.8172,999.3189,998.6486,1001.5983,997.6094,998.3890,990.7926,992.2998,997.8764,995.7941,996.7838,997.1615,1004.3171,1000.7411,990.2425,999.3109,996.6325,987.2908,1004.3362,1000.8880,991.2294,1002.6058,998.6672,995.7356,998.9763,1010.3409,1000.6767,997.5636,985.0004,1008.1175,994.0840,1003.8052,982.7708,1001.5455,997.0699,1046.2607,987.2277,1001.7913,994.4643,291.3019,999.2329,989.6414,992.1769,990.2052,980.8547,1003.1168,1001.5802,1001.3017,1003.7946,993.3176,1013.3327,1000.7874,1002.2271,1105.6624,940.2537,995.0206,1001.2295,990.3029,995.9800,1005.3166,1001.6093,1010.8837,959.9314,996.2944,1005.8499,942.2625,894.7463,969.4967,1125.8936,992.5242,1096.5217,994.5305,1001.0402,999.0087,1003.7599,996.2351,1001.6539,1017.1581,980.4007,1003.3948,1000.0000,997.5002,998.8287,951.1561,809.9249,1190.7628,1001.5461,1001.8517,835.4464,1000.9885,992.6175,976.6003
0.160,1001.3598,1003.6633,1000.9725,995.9139,997.8152,1005.6774,994.3899,999.0882,999.9822,993.1682,997.8638,999.4970,999.9226,990.9269,992.2651,1001.0885,992.1350,1001.4433,995.4812,998.5251,990.3642,999.2146,995.3183,993.3570,999.2125,1001.4626,998.5300,992.6576,1000.4466,992.3124,999.9751,978.7597,1003.6576,991.4407,998.8230,991.0484,1000.4011,998.4109,1009.8031,1048.6726,1001.1590,995.8588,1011.2370,293.9146,997.0699,996.4175,1002.8708,1024.6482,974.6145,1005.2601,1002.9374,1005.7805,1009.4815,991.7270,1017.8766,1007.4243,992.0373,1094.4797,944.4476,996.2453,994.1902,998.4472,999.9041,1006.8255,999.3060,1005.2423,953.1502,1001.0284,995.4368,945.6190,898.8609,1018.0872,1120.1775,1000.2809,1121.5986,998.0722,1003.2836,1000.4858,995.2592,1003.1946,984.4715,1011.7804,977.4903,997.0670,1000.0000,1001.5236,996.9332,946.8194,808.4670,1187.7896,1000.0080,996.2470,842.0719,983.0109,992.5220,989.1573
0.170,1006.0638,995.6264,1002.2003,994.9937,994.9305,1005.2106,1000.9223,997.7117,1000.5282,999.8291,997.3620,991.8218,999.2863,1005.8524,990.5900,998.4731,1000.7983,994.2484,996.2353,1001.5459,993.1333,1004.1515,994.5775,998.0742,999.3867,1000.9416,1000.0340,996.7868,993.8018,990.8079,998.9774,1010.4040,1004.0711,994.5020,1001.6256,986.1111,1006.7294,1001.6272,992.1413,1042.7257,1003.4735,998.6547,951.4602,284.0741,1004.4348,998.4633,1008.3438,1012.2804,972.3087,1005.6662,997.2207,993.6195,1006.0807,988.1604,1018.8323,1005.6407,994.3423,1111.0710,941.0310,993.8573,1000.9059,1005.3746,996.3098,999.3414,994.3511,1000.7058,1017.2362,999.8762,1000.0469,945.4988,900.7781,1062.1389,1114.5383,995.4151,1119.0030,1005.8934,1006.5228,992.0176,997.5309,998.2178,1008.0152,1030.9306,981.1395,1001.8758,1000.0000,999.7744,1003.8207,953.8388,813.8856,1189.3473,998.8477,992.4246,843.4501,986.9581,997.6841,968.2277
0.180,1001.6103,992.8990,997.5139,997.2982,997.2153,996.5794,998.7221,1001.9689,1000.1614,1000.1379,996.8092,999.2437,997.9724,997.6428,997.2225,1000.3215,999.1987,1002.6385,986.7407,990.6121,992.9893,997.2479,996.5334,1002.0844,1004.6716,999.9128,995.4352,999.6141,990.7683,998.2377,998.9084,985.5786,1007.3368,1001.0132,1000.3093,996.4496,997.1786,997.0191,989.9636,1044.7275,995.1727,1001.7165,1027.7891,292.9350,994.7647,999.8654,995.4197,969.1700,986.0735,1009.6141,1002.0904,994.1013,1012.0029,1001.8108,1018.1540,996.5911,996.1539,1101.2441,944.7224,1002.7835,994.3330,991.0391,995.5809,1009.7251,1003.5303,1002.6780,1044.9709,994.9280,995.2232,950.3398,897.1944,1005.9480,1110.4257,1004.2744,1129.8551,998.3789,1008.2375,990.9338,1000.2233,997.9829,999.4847,1013.4012,968.5871,1002.5687,1000.0000,1002.0725,1006.7592,951.2808,811.5521,1180.2859,997.2069,994.6321,829.1957,985.9418,1004.7840,966.5031
0.190,998.2709,1004.2379,1000.7486,1006.3774,1001.3238,997.0642,1007.1710,999.5805,1004.0126,998.0635,996.0645,989.2746,1003.1438,1000.2496,989.4914,997.1046,995.9211,1003.9263,995.8217,994.8011,997.9799,994.8640,1002.2132,994.5684,1002.8033,1000.9504,997.6758,986.2490,1004.2243,1002.1672,991.3685,1000.9521,1008.5910,999.3923,990.7415,988.8746,985.0588,996.3080,1002.2802,1047.4895,1001.6224,998.6901,1008.7992,309.9472,989.3386,990.9398,1010.9665,993.3369,978.0796,1001.1242,997.9158,996.5666,1006.5596,998.0462,1018.8649,1000.0996,1011.0835,1094.4024,947.6161,997.6915,997.2720,1004.2233,1001.3157,995.6980,999.3390,998.6707,1012.6212,997.2362,986.3558,943.0532,899.0039,1035.4600,1116.7478,993.7330,1132.1301,996.8031,1006.5094,990.6483,998.0815,1003.6702,994.8720,1025.8534,970.7727,996.1060,1000.0000,997.4530,991.0283,952.4271,808.8104,1185.7494,999.8781,1004.1111,837.9156,1001.8758,1009.6900,952.3304
0.200,1003.6989,998.5268,992.3753,991.1185,998.6884,996.2989,1001.9492,993.2313,996.4349,1001.3486,996.8453,995.5891,1003.8145,994.1937,1002.5344,999.5351,997.4231,995.5066,994.1090,999.1043,1001.8987,999.3296,993.9064,1000.9686,1002.9886,998.7411,995.6260,1001.7747,999.5981,993.4040,1001.8820,998.0003,991.5378,991.7249,1000.7516,1008.7595,1006.7935,1000.2980,998.3049,1054.6639,1000.3182,995.2706,1003.0327,295.2062,1001.9634,994.3433,1006.2707,1012.4422,972.4424,999.6109,991.7968,995.4126,1002.8584,997.5450,1024.3084,998.4077,1002.1947,1096.1524,948.8354,1001.0430,996.1576,995.6947,995.0635,1006.0834,998.8584,995.6801,966.0962,997.5656,1002.6816,945.7660,898.8889,951.1850,1108.2527,994.4472,1140.1162,1002.6521,1011.8017,997.2862,1001.5536,1000.0984,1003.1710,1023.1828,963.6919,1005.7024,1000.0000,998.9279,991.6697,949.0251,811.0072,1180.3193,999.5449,993.5277,846.1629,991.7231,1000.2982,957.6687
0.210,995.5820,992.3523,1000.8853,998.0373,995.8664,995.0864,999.8031,991.3094,1003.7317,1002.5904,994.4921,995.6135,996.8893,992.0211,1005.8993,989.9586,993.1676,988.5864,996.6340,998.3770,983.8812,1000.1760,984.7474,994.7672,995.3801,995.3424,997.9943,1000.4165,996.1728,991.4113,997.6106,994.0492,1006.2673,998.4634,994.8705,991.4544,988.3634,997.9785,999.6464,1041.9244,999.5639,996.9975,983.6855,308.5937,1006.4420,992.0413,998.1961,1012.6402,975.5611,1005.7435,994.6922,1000.7985,1006.6776,994.6193,1014.1455,1001.9208,993.2742,1098.0840,943.1558,998.7915,986.8213,1001.2055,999.5379,996.0461,994.3525,996.4067,954.0154,997.1142,993.0204,944.8145,899.8438,1036.3995,1103.7410,989.3585,1128.5013,1003.1359,1008.6157,991.8795,996.7377,1001.3170,1003.9230,1034.9364,968.6425,1001.4772,1000.0000,999.2359,998.7220,952.3910,813.0345,1187.9856,995.7178,1002.7601,854.5010,1008.2161,990.4037,967.7874
0.220,995.0291,994.0799,995.5481,996.0488,993.5515,1000.8297,998.8622,997.5901,999.2379,997.2558,996.6469,997.2344,997.6219,999.4247,992.6687,993.5301,1000.3435,1004.7342,1002.1410,995.3538,994.4523,1005.6608,993.2163,1000.0466,998.9506,995.8815,1000.5429,993.4405,995.7638,996.1587,996.7981,1007.3426,982.3567,994.1603,999.2793,1003.1738,1008.0252,1002.7826,998.3528,1049.1030,998.2060,1001.1935,996.9892,279.3380,993.9539,1006.0286,991.7861,1004.4934,967.1928,1003.6899,1002.5236,992.9983,1006.6457,995.6958,1019.0392,1005.9966,999.9584,1097.5128,948.7771,1004.3199,999.8405,1000.2655,1001.7885,990.8913,998.4370,1000.1966,1000.3291,997.8610,993.1991,944.2397,904.5559,990.2976,1111.4344,1002.2611,1123.0144,999.1326,1008.4212,987.4580,997.4576,1001.1032,994.9198,1030.7392,968.2072,995.8703,1000.0000,998.3296,998.7845,949.1245,809.9336,1182.3106,998.7197,1001.6947,837.0606,1002.5193,1000.7452,978.9481
0.230,996.4281,994.4918,996.6510,995.0508,997.5204,992.8477,997.6683,999.2608,1009.0702,993.4119,1000.7015,1002.7612,999.0984,987.8789,1002.7626,999.0880,1001.3809,1007.8433,998.4493,992.8169,999.2361,983.5473,993.9567,999.0314,994.5108,997.9951,998.2710,1001.9529,992.9628,993.1780,993.9447,1004.4951,994.2963,989.9205,995.3250,1003.0523,984.8175,1002.5438,993.7375,1040.3500,1004.2062,993.4963,1003.9581,289.8579,995.9162,1004.0619,992.7863,979.7630,967.5506,1002.8997,985.9479,996.9590,1003.3111,988.6766,1021.7466,1004.0133,998.4138,1093.4917,942.6410,998.9551,997.3427,1002.6877,998.4068,1001.0486,994.6121,1001.9433,1042.0459,997.3111,992.8983,947.0399,902.0996,883.7906,1096.5613,992.9430,1136.3480,998.9223,1008.2900,999.0819,997.9118,1004.6453,993.0180,1028.9317,967.2963,999.9257,1000.0000,1001.3328,997.6223,948.1171,815.2171,1185.1628,998.4418,998.4784,856.9018,998.8637,988.8032,956.6721
0.240,997.5798,995.8116,998.8463,999.0099,995.7705,994.6070,1001.9027,994.6010,998.4969,999.4596,997.7202,993.7746,999.0818,1002.6008,998.4636,1002.3292,995.5335,1004.7648,999.7535,992.4974,998.6313,995.8391,997.3307,995.6943,993.5797,996.7512,997.0909,993.6870,986.1228,986.2340,1000.1150,991.3964,1001.2627,1004.6390,999.5929,969.0062,1021.5880,1001.7486,1004.1204,1049.2142,996.9364,990.4629,1000.7997,294.1912,1000.3765,1003.4792,991.4076,1007.5320,964.8282,1005.2689,988.4785,1012.5840,1007.7633,998.0247,1021.6908,1001.4160,1005.0895,1094.3334,943.6356,1007.2599,998.5613,1002.2851,999.0352,999.9397,992.7412,1000.5271,1030.3006,999.5218,998.1266,940.9666,898.3340,986.1590,1089.2364,993.0223,1127.4744,993.8330,1014.4851,981.1853,997.7986,996.7061,990.5174,1030.5515,958.3333,996.9231,1000.0000,1000.1323,995.5913,951.4587,815.9135,1179.6363,998.5442,1000.1825,853.3476,1004.7378,989.5308,948.1403
0.250,994.3793,997.7559,997.6916,991.7664,995.8409,995.1520,1001.5461,1000.6956,991.5346,1001.1132,994.5850,998.0377,998.9377,985.8336,996.8967,990.2634,998.7170,1000.2433,995.3502,992.2663,1000.0270,1001.1215,993.2686,990.8841,989.1597,991.0365,991.1582,996.1138,998.5018,996.2105,1000.9620,996.5843,986.3997,993.2657,1000.1727,993.0925,1002.3967,1000.7813,998.2919,1043.7005,998.4646,1001.5857,1001.3254,290.3372,1005.3168,990.7914,983.6473,987.3959,964.8276,1006.0959,1002.9319,988.7463,1010.4784,1001.2269,1019.5366,994.8887,995.7492,1100.4912,947.4766,1011.1071,993.4688,997.3417,995.1554,1003.3686,987.1371,996.2863,998.8365,993.1071,985.8497,944.6095,896.4032,982.9388,1097.7491,992.8879,1127.6532,992.7313,1005.8602,994.2819,1000.1243,998.8700,1001.1473,1034.1485,959.5725,996.6006,1000.0000,1000.4689,997.5019,953.1449,817.9657,1182.3941,1000.6903,1002.9693,855.6978,995.7140,996.1739,965.0179
